keyresult,target,,
have some regressions in 270 days,1,,
create and implement workflow graph early as possible,0,,
install new migration field early as possible,0,,
create knowledge base documentation,0,,
provide a new refactoring plan,0,,
ship the new architecture docs to internal teams,0,,
some of our existing customers try it,0,,
get an nps score ,0,,
conduct some customer development interviews,0,,
review few usage videos via usertesting.com,0,,
do few training sessions on the new product for marketing and sales teams,0,,
interview some prospective customers,0,,
"win 1,000 deals worth $10m in bookings by 12/31/17",1,,
"win 1,000 deals worth $10m in bookings",1,,
"generate 50,000 marketing qualified leads",1,,
generate marketing qualified leads,0,,
grow revenue to $3m,1,,
grow revenue,0,,
launch the new product in a 7 days,1,,
launch the new product,0,,
reduce churn to <5% 365 days through customer success,1,,
reduce churn to <5%,1,,
collect feedback from 20 customers/30 days,1,,
collect feedback from customers,0,,
boost customer retention to 97% before end of february,1,,
boost customer retention to 97%,1,,
maintain nps of 9,1,,
maintain nps,0,,
roll out a continuous 2-way feedback loop via 7 days surveys,1,,
roll out a continuous 2-way feedback loop early as possible,0,,
maintain an average employee satisfaction score of 8 or higher,1,,
maintain an average employee satisfaction score,0,,
create & launch new mentorship program by the end of 270 days,1,,
create & launch new mentorship program,0,,
develop 15 customer case studies by 4/30/17,1,,
develop customer case studies,0,,
secure an award at an industry conference in 2 days,1,,
secure an award,0,,
hit company global sales target of $100 million in sales,1,,
hit company global sales,0,,
achieve 100% 365 days-to-365 days sales growth in the emea geography,1,,
achieve sales growth,0,,
increase the company average deal size by 30% (with upsells),1,,
increase the company average deal size,0,,
reduce churn to less than 5% annually (via customer success),1,,
reduce churn ,0,,
interview 20 customers per 30 days and get feedback,1,,
interview customers and get feedback,0,,
achieve a nps of 9 from our customers,1,,
achieve a high nps,0,,
increase customer retention to 98%,1,,
increase customer retention,0,,
launch an ongoing 2-way closed-loop feedback process by 365 days end,1,,
launch an ongoing 2-way closed-loop feedback process early as possible,0,,
achieve a 7 days employee satisfaction of 8+,1,,
achieve a employee satisfaction,0,,
celebrate “small wins” and any type of progress every single 7 days,1,,
celebrate “small wins” and any type of progress,0,,
create 20 customer case studies,1,,
create customer case studies,0,,
get into the gartner magic quadrant,0,,
outreach to vcs & get at least 30 initial meetings,1,,
get at least 5 second contact meetings,1,,
get at contact meetings,0,,
solicit at least 3 term sheets of our minimum required terms,1,,
solicit term sheets of our minimum required terms,0,,
close an investment round with the minimum of $10 million pre-m1 y,1,,
close an investment round,0,,
confirm structure meets the needs of 5 teams leaders and ceo (6 people),1,,
confirm structure meets the needs,0,,
reduce expense submission entry from 30 days to 7 days,1,,
reduce expense submission entry,0,,
maintain expense to revenue ratio of 30% or less,1,,
maintain expense to revenue ratio,0,,
get 30% response to survey on churn reasons,1,,
get response to survey,0,,
interviews with 10% of respondents to get detailed reasons,1,,
interviews with respondents to get detailed reasons,0,,
analyze responses and choose 3 issues to improve,1,,
analyze responses and choose issues to improve,0,,
gather feedback from 80% employees on improvement ideas,1,,
gather feedback from employees,0,,
solve top 3 problems identified,1,,
solve problems identified,0,,
confirm improvements in discussion with 10 people,1,,
confirm improvements in discussion,0,,
on time delivery increases from 80% to 100%,1,,
increase on time delivery,0,,
inventory stock error reduced from 10% to 3%,1,,
inventory stock error reduced,0,,
production efficiency increased from 40% to 60% of maximum capacity,1,,
production efficiency increased,0,,
all 7 teams agree and implement folder structures,1,,
teams agree and implement folder structures,0,,
7 teams complete the move and consolidation of 100% of document to the new structure,1,,
teams complete the move and consolidation of document to the new structure,0,,
collect feedback from all users and over 80% are positive,1,,
collect feedback from some user,0,,
increase open rate of our in-product communications from 4% to 15%,1,,
increase open rate of our in-product communications ,0,,
increase the number of follow-up meetings booked from 7 to 21 per 7 days,1,,
increase the number of follow-up meetings ,0,,
achieve service quality rating 9 out of 10 based on the after meeting anonymous poll,1,,
achieve service quality rating  ,0,,
reduce average response time from 5h to 1h,1,,
reduce average response time ,0,,
exceed net promoter score (nps) of over 8.0,1,,
exceed net promoter score (nps) ,0,,
get 1000 survey responses to annual satisfaction survey,1,,
get survey responses to annual satisfaction survey,0,,
conduct 50 ph1  interviews with top customers,1,,
conduct some  interviews with top customers,0,,
conduct 15 ph1  interviews with recently churned customers,1,,
conduct  some  interviews with recently churned customers,0,,
present an action plan of 10 improvement for next 90 days,1,,
present an action plan of improvement ,0,,
decrease number of complaints and negative feedback per 90 days from 15 to 5,1,,
decrease number of complaints and negative feedback,0,,
increase positive feedback items and praise from 5 to 15 per 90 days,1,,
increase positive feedback items ,0,,
increase end-user satisfaction rating from 4.0 to 4.5,1,,
increase end-user satisfaction rating ,0,,
increase good and great ratings from 40 to 60,1,,
increase good and great ratings ,0,,
develop 15 full answers to common questions,1,,
develop full answers to common questions,0,,
improve first time response rate from 60 to 30 minutes average,1,,
improve first time response rate,0,,
increase close - win rate from 5% to 15%,1,,
increase close - win rate ,0,,
decrease our sales cycle from 4 7 dayss to 2 7 dayss,1,,
decrease our sales cycle ,0,,
improve our user retention from 30% to 45%,1,,
improve our user retention ,0,,
increase email marketing mqls from 100 to 150,1,,
increase email marketing mqls ,0,,
increase adwords mqls from 70 to 100,1,,
increase adwords mqls ,0,,
increase organic search mqls from 45 to 50,1,,
increase organic search mqls ,0,,
partner with 3 platforms delivering 60 candidates,1,,
partner with  platforms delivering candidates,0,,
write 5 articles promoting us as a place to work read by 1500 unique visitors,1,,
write articles promoting us as a place to work read by  visitors,0,,
our vacancies web page visits increase from 600 to 900,1,,
our vacancies web page visits increased,0,,
conduct 3 30 days “fun friday” all-hands meetings with motivational speakers,1,,
conduct meetings with motivational speakers,0,,
interview 48 employees on ways to improve and execute the top 3 areas,1,,
interview employees on ways to improve and execute the areas,0,,
decrease rejected candidate feedback time from 10 to 5 days on average,1,,
decrease rejected candidate feedback time ,0,,
reduce turn over rate from 10% to 0%,1,,
reduce turn over rate ,0,,
increase our glassdoor culture & values rating from 3 to 4+,1,,
increase our glassdoor culture & values ratings,0,,
conduct seminars in 5 universities & collect over 100 emails for the talent pool,1,,
conduct seminars in universities & collect emails for the talent pool,0,,
increase sign-up to trial ratio from 10% to 25%,1,,
increase sign-up to trial ratio ,0,,
increase trial to paid ratio from 30% to 50%,1,,
increase trial to paid ratio ,0,,
reduce bugs reported after the release from 20 to 5 average,1,,
reduce bugs reported after the release ,0,,
increase code unit test cover from 30% to 50%,1,,
increase code unit test cover ,0,,
increase team members contributing to testing from 1 to 3 people on average testing product before release,1,,
increase team members contributing to testing product before release,0,,
all 7 team members complete the data training with 80% score in test result,1,,
 team members complete the data training ,0,,
reduce security-related server downtimes from 2 to 0 average,1,,
reduce security-related server downtimes ,0,,
reduce customers not choosing us because our security measures from 10 to 2 average,1,,
reduce customers not choosing us,0,,
"bring in $50,000 in bookings by end of 270 days",1,,
"bring in $50,000 in bookings",1,,
finalize the new 20% channel sales promotion for 270 days,1,,
finalize the new channel sales promotion,0,,
achieve a 7 days employee satisfaction / pulse score of 8+,1,,
achieve employee satisfaction / pulse score ,0,,
hire 25 new employees this 90 days for the 5 requesting departments,1,,
hire new employees for the requesting departments,0,,
maintain a 4:1 interview-to-hire ratio,1,,
maintain good interview-to-hire ratio,0,,
offer a $500 reward for referrals to a-players,1,,
offer a reward,0,,
hire 5 referred engineers with exceptional references by end of 180 days,1,,
hire referred engineers with exceptional references,0,,
identify 30 bugs by the end 180 days,1,,
identify bugs,0,,
ensure no more than 1 critical bug reported in 270 days,1,,
ensure no critical bug reported,0,,
have zero regressions in 270 days,1,,
have zero regressions,0,,
install new migration field by this 30 days,1,,
install new migration field,0,,
get usability score above 8/10 on ux mockups from 20 prospective customers,1,,
get usability score above X on ux mockups,0,,
apply best practices to ensure we have nps score of 8 and above,1,,
apply best practices,0,,
achieve a csat of 90%+ for all tier-1 tickets,1,,
achieve a csat of 90%+,1,,
troubleshoot tier-1 issues within 1 hour,1,,
troubleshoot tier-1 issues,0,,
resolve 95% of tier-2 support tickets in under 24 hours,1,,
resolve tier-2 support tickets,0,,
each support rep to maintain a personal csat of 95% or more,1,,
each support rep to maintain a personal csat,0,,
maintain a 7 days support group esi/pulse score of 8 or greater,1,,
maintain a support group esi/pulse score,0,,
track and report on top 10 customers by active tickets,1,,
track and report customers by active tickets,0,,
review every1 's budget proposals before mid-270 days,1,,
